Time [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.7 Sonnenlichtfaktor [---]	Variante 9.7 GlobalStrahlungSuedWand [W/m2]
3624	25.0444	-15.71	0	0
3625	26.0444	-14.76	0	0
3626	27.0444	-11.61	0	0
3627	40.1658	-6.54	0	0
3628	52.4254	0.08	0	0
3629	63.993	7.86	0	0
3630	75.208	16.43	0	0
3631	86.554	25.46	0	0
3632	98.6978	34.59	0	0
3633	112.599	43.4	0	0
3634	129.633	51.24	0	0
3635	151.33	57.09	0	0
3636	177.572	59.57	0	0
3637	204.306	57.82	0	0
3638	226.923	52.48	0	0
3639	244.692	44.91	0	0
3640	259.043	36.22	0	0
3641	271.423	27.12	0	0
3642	282.859	18.06	0	0
3643	294.06	9.39	0	0
3644	305.537	1.46	0	0
3645	317.653	-5.37	0	0
3646	330.611	-10.73	0	0
3647	344.39	-14.23	0	0
3648	358.707	-15.57	0	0
3649	13.0695	-14.62	0	0
3650	26.9688	-11.48	0	0
3651	40.0752	-6.42	0	0
3652	52.3237	0.18	0	0
3653	63.882	7.95	0	0
3654	75.0882	16.52	0	0
3655	86.4244	25.54	0	0
3656	98.5565	34.68	0	0
3657	112.445	43.49	0	0
3658	129.474	51.34	0	0
3659	151.189	57.21	0	0
3660	177.497	59.71	0	0
3661	204.315	57.96	0	0
3662	226.982	52.61	0	0
3663	244.769	45.04	0	0
3664	259.12	36.35	0	0
3665	271.495	27.25	0	0
3666	282.923	18.18	0	0
3667	294.115	9.52	0	0
3668	305.58	1.6	0	0
3669	317.682	-5.24	0	0
3670	330.622	-10.59	0	0
3671	344.38	-14.09	0	0
3672	358.673	-15.43	0	0
3673	13.0131	-14.5	0	0
3674	26.894	-11.37	0	0
3675	39.9862	-6.32	0	0
3676	52.2241	0.28	0	0
3677	63.7738	8.04	0	0
3678	74.9715	16.6	0	0
3679	86.2981	25.62	0	0
3680	98.4189	34.75	0	0
3681	112.296	43.57	0	0
3682	129.318	51.44	0	0
3683	151.049	57.32	0	0
3684	177.419	59.84	0	0
3685	204.317	58.1	0	0
3686	227.035	52.74	0	0
3687	244.839	45.16	0	0
3688	259.191	36.47	0	0
3689	271.561	27.37	0	0
3690	282.982	18.31	0	0
3691	294.165	9.65	0	0
3692	305.619	1.72	0	0
3693	317.707	-5.11	0	0
3694	330.629	-10.46	0	0
3695	344.367	-13.96	0	0
3696	358.637	-15.3	0	0
3697	12.9565	-14.37	0	0
3698	26.8198	-11.25	0	0
3699	39.8989	-6.22	0	0
3700	52.1268	0.37	0	0
3701	63.6684	8.12	0	0
3702	74.8581	16.67	0	0
3703	86.1754	25.69	0	0
3704	98.285	34.83	0	0
3705	112.15	43.65	0	0
3706	129.164	51.53	0	0
3707	150.911	57.43	0	0
3708	177.338	59.96	0	0
3709	204.314	58.23	0	0
3710	227.081	52.87	0	0
3711	244.901	45.29	0	0
3712	259.256	36.59	0	0
3713	271.621	27.48	0	0
3714	283.035	18.42	0	0
3715	294.21	9.77	0	0
3716	305.653	1.85	0	0
3717	317.728	-4.98	0	0
3718	330.633	-10.33	0	0
3719	344.351	-13.83	0	0
3720	358.6	-15.18	0	0
3721	12.8997	-14.26	0	0
3722	26.7465	-11.15	0	0
3723	39.8132	-6.12	0	0
3724	52.0319	0.45	0	0
3725	63.5658	8.19	0	0
3726	74.7479	16.74	0	0
3727	86.0564	25.75	0	0
3728	98.155	34.89	0	0
3729	112.007	43.72	0	0
3730	129.014	51.61	0	0
3731	150.773	57.53	0	0
3732	177.254	60.08	0	0
3733	204.305	58.35	0	0
3734	227.119	52.99	0	0
3735	244.958	45.4	0	0
3736	259.314	36.7	0	0
3737	271.675	27.6	0	0
3738	283.083	18.54	0	0
3739	294.25	9.88	0	0
3740	305.683	1.97	0	0
3741	317.745	-4.86	0	0
3742	330.634	-10.21	0	0
3743	344.333	-13.71	0	0
3744	358.562	-15.07	0	0
3745	12.8427	-14.15	0	0
3746	26.6741	-11.05	0	0
3747	39.7293	-6.04	0	0
3748	51.9395	0.53	0	0
3749	63.4663	8.26	0	0
3750	74.6412	16.8	0	0
3751	85.9411	25.81	0	0
